chinese_name,name,unit_price,price,min_p,max_p,gap,url
牛奶 UHT 杏仁不加糖,Milk UHT Almond Unsweetened,1.89,1.89,1.89,1.89,0.0,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/milk-uht-almond-unsweetened-1l/
牛奶超高温处理杏仁原味,Milk UHT Almond Original,1.89,1.89,1.89,1.89,0.0,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/milk-uht-almond-original-1l/
超高温处理燕麦奶,UHT Oat Milk,1.89,1.89,1.89,1.89,0.0,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/uht-oat-milk-1l/
纯素鸡汤,Vegan Style Chicken Stock,1.9,1.9,1.9,1.9,0.0,https://www.coles.com.au/product/coles-vegan-style-chicken-stock-1l-3455481
液体高汤真牛肉,Liquid Stock Real Beef,1.9,1.9,1.9,1.9,0.0,https://www.coles.com.au/product/coles-liquid-stock-real-beef-1l-7152062
液体正宗鸡,Liquid Real Stock Chicken,1.9,1.9,1.9,1.9,0.0,https://www.coles.com.au/product/coles-liquid-real-stock-chicken-1l-7152073
液体真实蔬菜,Liquid Real Stock Vegetable,1.9,1.9,1.9,1.9,0.0,https://www.coles.com.au/product/coles-liquid-real-stock-vegetable-1l-7152084
液体盐减少真正的鸡汤,Liquid Salt Reduced Real Chicken Stock,1.9,1.9,1.9,1.9,0.0,https://www.coles.com.au/product/coles-liquid-salt-reduced-real-chicken-stock-1l-8588336
澳大利亚自己的无糖椰奶,Australia's Own Unsweetened Coconut Milk,3.2,3.2,1.9,3.2,1.3,https://www.woolworths.com.au/shop/productdetails/575869
Westgold 全脂超高温牛奶,Westgold Full Cream Uht Milk,1.9,1.9,1.9,1.9,0.0,https://www.woolworths.com.au/shop/productdetails/87769
御宴茉莉香米,Royal Feast Jasmine Rice,2.4,24.0,24.0,48.0,0.0,https://www.woolworths.com.au/shop/productdetails/102760
Woolworths 传统燕麦片,Woolworths Rolled Traditional Oats,2.27,1.7,1.4,1.7,0.3,https://www.woolworths.com.au/shop/productdetails/321220
Woolworths 速食燕麦,Woolworths Quick Oats,2.27,1.7,1.4,1.7,0.3,https://www.woolworths.com.au/shop/productdetails/321222
Woolworths 鸡肉液体汤料,Woolworths Chicken Liquid Stock,1.9,1.9,1.9,1.9,0.0,https://www.woolworths.com.au/shop/productdetails/310251
Woolworths 蔬菜液体汤料,Woolworths Vegetable Liquid Stock,1.9,1.9,1.9,1.9,0.0,https://www.woolworths.com.au/shop/productdetails/310254
Woolworths 鸡肉液体盐减少,Woolworths Chicken Liquid Stock Salt Reduced,1.9,1.9,1.9,1.9,0.0,https://www.woolworths.com.au/shop/productdetails/310256
Woolworths 液体牛肉汤,Woolworths Beef Liquid Stock,1.9,1.9,1.9,1.9,0.0,https://www.woolworths.com.au/shop/productdetails/310253
全脂长寿牛奶,Full Cream Long Life Milk,1.95,3.9,3.9,3.9,0.0,https://www.coles.com.au/product/devondale-full-cream-long-life-milk-2l-5230904
半脱脂长寿牛奶,Semi Skim Long Life Milk,1.95,3.9,3.9,3.9,0.0,https://www.coles.com.au/product/devondale-semi-skim-long-life-milk-2l-5230926
农民自己的全脂牛奶,Farmers Own Full Cream Milk,1.95,5.85,5.85,5.85,0.0,https://www.woolworths.com.au/shop/productdetails/786816
全脂牛奶,Full Cream Milk,1.98,5.95,5.95,5.95,0.0,https://www.coles.com.au/product/devondale-full-cream-milk-3l-1909941
淡奶,Light Milk,1.98,5.95,5.95,5.95,0.0,https://www.coles.com.au/product/devondale-light-milk-3l-1909952
诺科全脂牛奶,Norco Full Cream Milk,1.98,5.95,5.95,5.95,0.0,https://www.woolworths.com.au/shop/productdetails/56591
农民自己的全脂均质化,Farmers Own Full Cream Homogenised,1.98,3.95,3.95,3.95,0.0,https://www.woolworths.com.au/shop/productdetails/757826
内在善良长寿米浆,Inner Goodness Long Life Rice Milk,1.99,1.99,1.99,1.99,0.0,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/inner-goodness-long-life-rice-milk-1l/
CHAMP 冰咖啡风味牛奶,CHAMP Iced Coffee Flavoured Milk,2.0,3.99,3.99,3.99,0.0,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/champ-iced-coffee-flavoured-milk-2l/
CHAMP巧克力味牛奶,CHAMP Chocolate Flavoured Milk,2.0,3.99,3.99,3.99,0.0,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/champ-chocolate-flavoured-milk-2l/
棕色洋葱,Brown Onions,3.6,3.6,2.0,3.6,1.6,https://www.coles.com.au/product/coles-brown-onions-1kg-4803991
土豆,Potatoes,3.25,6.5,4.0,6.5,2.5,https://www.coles.com.au/product/little-tractor-potatoes-2kg-4293374
无乳糖长寿全脂牛奶,Lactose Free Long Life Full Cream Milk,1.9,1.9,1.6,2.0,0.3,https://www.coles.com.au/product/coles-lactose-free-long-life-full-cream-milk-1l-1850656
无乳糖超高温灭菌低脂牛奶,Lactose Free UHT Low Fat Milk,2.0,2.0,2.0,2.0,0.0,https://www.coles.com.au/product/coles-lactose-free-uht-low-fat-milk-1l-1850667
杏仁奶不加糖,Almond Milk Unsweetened,2.0,2.0,1.85,2.0,0.15,https://www.coles.com.au/product/coles-almond-milk-unsweetened-1l-1852210
无糖杏仁超高温灭菌奶 1L,Unsweetened Almond UHT Milk 1L,3.3,3.3,1.65,3.3,1.65,https://www.coles.com.au/product/vitasoy-unsweetened-almond-uht-milk-1l-1l-2412734
豆奶普通长寿奶 1L,Soy Milky Regular Long Life Milk 1L,2.45,2.45,2.0,2.45,0.45,https://www.coles.com.au/product/vitasoy-soy-milky-regular-long-life-milk-1l-1l-5231292
豆奶 Lite 长寿奶 1L,Soy Milky Lite Long Life Milk 1L,2.45,2.45,2.0,2.45,0.45,https://www.coles.com.au/product/vitasoy-soy-milky-lite-long-life-milk-1l-1l-5231306
无乳糖全脂牛奶,Lactose Free Full Cream Milk,3.2,3.2,2.0,3.2,1.2,https://www.coles.com.au/product/rokeby-farms-lactose-free-full-cream-milk-1l-5610155
原味杏仁奶,Original Almond Milk,2.0,2.0,2.0,2.0,0.0,https://www.coles.com.au/product/coles-original-almond-milk-1l-6337652
无糖燕麦奶,Unsweetened Oat Milk,2.0,2.0,2.0,2.0,0.0,https://www.coles.com.au/product/coles-unsweetened-oat-milk-1l-6337674
有机无麦芽长效大豆饮料,Organic Malt Free Long Life Soy Drink,2.2,2.2,2.0,2.2,0.2,https://www.coles.com.au/product/pureharvest-organic-malt-free-long-life-soy-drink-1l-9553971
原糖,Raw Sugar,1.95,3.9,3.9,3.9,0.0,https://www.coles.com.au/product/csr-raw-sugar-2kg-174894
白砂糖,White Sugar,2.0,2.0,2.0,2.0,0.0,https://www.coles.com.au/product/csr-white-sugar-1kg-120104
白色硬皮印花袋面包粉,White Crusty Calico Bag Bread Mix,2.0,20.0,20.0,20.0,0.0,https://www.coles.com.au/product/laucke-white-crusty-calico-bag-bread-mix-10kg-8854101
食盐,Table Salt,2.0,2.0,2.0,2.0,0.0,https://www.coles.com.au/product/coles-table-salt-1kg-8766810
棕色麦芽醋,Brown Malt Vinegar,1.6,3.2,3.2,3.9,0.0,https://www.coles.com.au/product/cornwell's-brown-malt-vinegar-2l-162760
硬质小麦天使发意大利面,Durum Wheat Angel Hair Spaghetti,2.0,1.0,1.0,1.0,0.0,https://www.coles.com.au/product/coles-durum-wheat-angel-hair-spaghetti-500g-3328961
硬粒小麦意大利面,Durum Wheat Pasta Spaghetti,2.0,1.0,1.0,1.0,0.0,https://www.coles.com.au/product/coles-durum-wheat-pasta-spaghetti-500g-3328972
硬粒小麦意大利宽面条,Durum Wheat Pasta Fettuccine,2.0,1.0,1.0,1.0,0.0,https://www.coles.com.au/product/coles-durum-wheat-pasta-fettuccine-500g-3328994
硬粒小麦面食大螺旋,Durum Wheat Pasta Large Spirals,2.0,1.0,1.0,1.0,0.0,https://www.coles.com.au/product/coles-durum-wheat-pasta-large-spirals-500g-3329035
硬粒小麦意大利面通心粉 Rigate,Durum Wheat Pasta Penne Rigate,2.0,1.0,1.0,1.0,0.0,https://www.coles.com.au/product/coles-durum-wheat-pasta-penne-rigate-500g-3329046
硬质小麦面食壳大号,Durum Wheat Pasta Shells Large,2.0,1.0,1.0,1.0,0.0,https://www.coles.com.au/product/coles-durum-wheat-pasta-shells-large-500g-3329057
硬粒小麦意大利面通心粉,Durum Wheat Pasta Macaroni,2.0,1.0,1.0,1.0,0.0,https://www.coles.com.au/product/coles-durum-wheat-pasta-macaroni-500g-3329137
硬质小麦面食领结,Durum Wheat Pasta Bowties,2.0,1.0,1.0,1.0,0.0,https://www.coles.com.au/product/coles-durum-wheat-pasta-bowties-500g-4514983
硬质小麦通心粉通心粉,Durum Wheat Pasta Rigatoni,2.0,1.0,1.0,1.0,0.0,https://www.coles.com.au/product/coles-durum-wheat-pasta-rigatoni-500g-4515283
长粒优质白米,Long Grain Premium White Rice,2.0,4.0,4.0,4.0,0.0,https://www.coles.com.au/product/sunrice-long-grain-premium-white-rice-2kg-296960
Sanitarium So Good 咖啡师版豆浆,Sanitarium So Good Barista Edition Soy Milk,3.0,3.0,2.0,3.0,1.0,https://www.woolworths.com.au/shop/productdetails/83995
Woolworths 无糖杏仁奶,Woolworths Unsweetened Almond Milk,2.0,2.0,1.85,2.0,0.15,https://www.woolworths.com.au/shop/productdetails/779134
Pureharvest 有机无麦芽豆奶,Pureharvest Organic Malt Free Soy Milk,2.2,2.2,2.0,2.2,0.2,https://www.woolworths.com.au/shop/productdetails/192366
Jst J*st 杏仁奶,Jst J*st Almond Milk,3.0,3.0,2.0,3.0,1.0,https://www.woolworths.com.au/shop/productdetails/266670
Jst J*st 燕麦奶,Jst J*st Oat Milk,3.0,3.0,2.0,3.0,1.0,https://www.woolworths.com.au/shop/productdetails/269103
诺科全脂牛奶,Norco Full Cream Milk,2.0,4.0,4.0,4.0,0.0,https://www.woolworths.com.au/shop/productdetails/44528
Woolworths 水洗土豆袋,Woolworths Washed Potatoes Bag,2.75,5.5,4.0,7.9,1.5,https://www.woolworths.com.au/shop/productdetails/262783
Woolworths 意大利面,Woolworths Pasta Spaghetti,2.0,1.0,1.0,1.0,0.0,https://www.woolworths.com.au/shop/productdetails/346830
Woolworths 意大利面通心粉,Woolworths Pasta Macaroni,2.0,1.0,1.0,1.0,0.0,https://www.woolworths.com.au/shop/productdetails/346837
Woolworths 螺旋面食,Woolworths Pasta Spirals,2.0,1.0,1.0,1.0,0.0,https://www.woolworths.com.au/shop/productdetails/346833
Woolworths 通心粉 Rigate,Woolworths Pasta Penne Rigate,2.0,1.0,1.0,1.0,0.0,https://www.woolworths.com.au/shop/productdetails/346831
Woolworths 大贝壳意大利面,Woolworths Large Pasta Shells,2.0,1.0,1.0,1.0,0.0,https://www.woolworths.com.au/shop/productdetails/745386
Woolworths 意大利宽面条,Woolworths Pasta Fettuccine,2.0,1.0,1.0,1.0,0.0,https://www.woolworths.com.au/shop/productdetails/346835
Sunrice 白米 优质长粒米,Sunrice White Rice Premium Long Grain,2.0,4.0,4.0,5.3,0.0,https://www.woolworths.com.au/shop/productdetails/36502
Woolworths 长天使发意大利面,Woolworths Long Angel Hair Pasta,2.0,1.0,1.0,1.0,0.0,https://www.woolworths.com.au/shop/productdetails/826485
必需品食盐,Essentials Table Salt,2.0,2.0,2.0,2.0,0.0,https://www.woolworths.com.au/shop/productdetails/37687
牛奶全脂,Milk Full Cream,2.07,6.2,5.8,6.2,0.4,https://www.coles.com.au/product/pura-milk-full-cream-3l-7828977
奶农全脂牛奶 全脂牛奶,Dairy Farmers Full Cream Milk Full Cream Milk,2.07,6.2,5.8,6.2,0.4,https://www.woolworths.com.au/shop/productdetails/64746
全脂牛奶,Full Cream Milk,2.1,6.3,6.0,6.3,0.3,https://www.coles.com.au/product/great-ocean-road-full-cream-milk-3l-4490331
轻启动牛奶,Light Start Milk,2.1,6.3,6.3,6.3,0.0,https://www.coles.com.au/product/pura-light-start-milk-3l-5634379
白醋,White Vinegar,1.6,3.2,3.2,4.1,0.0,https://www.coles.com.au/product/cornwell's-white-vinegar-2l-162749
康威尔白醋,Cornwell's White Vinegar White,2.25,4.5,4.5,5.0,0.0,https://www.woolworths.com.au/shop/productdetails/25671
全脂牛奶,Full Cream Milk,2.15,4.3,4.3,4.3,0.0,https://www.coles.com.au/product/green-pastures-full-cream-milk-2l-1595800
全脂牛奶,Full Cream Milk,2.15,4.3,3.95,4.3,0.35,https://www.coles.com.au/product/pura-full-cream-milk-2l-5477930
奶农全脂牛奶 全脂牛奶,Dairy Farmers Full Cream Milk Full Cream Milk,2.15,4.3,3.8,4.3,0.5,https://www.woolworths.com.au/shop/productdetails/88436
Farmdale 长寿有机全脂牛奶,Farmdale Long Life Organic Full Cream Milk,2.29,2.29,2.19,2.29,0.1,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-long-life-organic-full-cream-milk-1l/
无籽西瓜切块,Seedless Watermelon Cut,3.9,7.8,4.4,7.8,3.4,https://www.coles.com.au/product/coles-seedless-watermelon-cut-approx.-2kg-each-7508229
全脂长寿牛奶,Full Cream Long Life Milk,2.2,2.2,2.2,2.2,0.0,https://www.coles.com.au/product/devondale-full-cream-long-life-milk-1l-301721
杏仁奶,Almond Milky,3.0,3.0,1.5,3.0,1.5,https://www.coles.com.au/product/vitasoy-almond-milky-1l-3019027
好长寿普通豆奶,So Good Long Life Regular Soy Milk,2.2,2.2,2.2,2.2,0.0,https://www.coles.com.au/product/sanitarium-so-good-long-life-regular-soy-milk-1l-403029
脱脂长寿牛奶,Skim Long Life Milk,2.2,2.2,2.2,2.2,0.0,https://www.coles.com.au/product/devondale-skim-long-life-milk-1l-455849
