chinese_name,name,current_price,min_price,max_price,price_gap
Farmdale 无乳糖低脂超高温灭菌牛奶,Farmdale Lactose Free Low Fat UHT Milk,1.59,1.59,1.59,0.0
我是完美的预包装胡萝卜,I'M Perfect Carrots Prepacked,2.6,1.9,2.6,0.7
棕色洋葱,Brown Onions,8.0,8.0,8.0,0.0
So Good 杏仁香草长寿牛奶,So Good Almond Vanilla Long Life Milk,3.2,1.6,3.2,1.6
有机豆奶,Organic Soy Milk,2.0,1.6,2.0,0.4
全脂牛奶,Full Cream Milk,4.35,4.35,4.8,0.0
低脂低脂牛奶,Lite Reduced Fat Milk,4.8,4.8,4.8,0.0
原糖,Raw Sugar,3.2,3.2,3.2,0.0
Woolworths 超高温全脂牛奶,Woolworths Uht Full Cream Milk,1.6,1.6,1.6,0.0
Woolworths 超脱脂牛奶,Woolworths Uht Skim Milk,1.6,1.6,1.6,0.0
Woolworths 无乳糖全脂牛奶,Woolworths Free From Lactose Full Cream Milk,1.9,1.6,1.9,0.3
Woolworths 超淡牛奶,Woolworths Uht Lite Milk,1.6,1.6,1.6,0.0
Woolworths 不含乳糖淡牛奶,Woolworths Free From Lactose Lite Milk,1.9,1.6,1.9,0.3
Macro有机大豆长寿奶,Macro Organic Soy Long Life Milk,2.0,1.6,2.0,0.4
Woolworths 全脂牛奶,Woolworths Full Cream Milk,1.55,1.55,1.6,0.0
Woolworths 淡牛奶,Woolworths Lite Milk,1.55,1.55,1.6,0.0
Woolworths 脱脂牛奶,Woolworths Skim Milk,1.55,1.55,1.6,0.0
CSR原糖,Csr Raw Sugar,5.0,3.2,5.0,1.8
必需品原糖,Essentials Raw Sugar,4.8,4.8,4.8,0.0
超高温处理燕麦奶,UHT Oat Milk,3.3,1.65,3.3,1.65
全脂牛奶,Full Cream Milk,3.0,3.0,3.3,0.0
低脂低脂牛奶,Lite Reduced Fat Milk,3.0,3.0,3.3,0.0
宏观有机米浆,Macro Organic Rice Milk,2.0,1.65,2.0,0.35
淡奶瓶,Lite Milk Bottle,1.55,1.55,1.7,0.0
脱脂牛奶瓶,Skim Milk Bottle,1.55,1.55,1.7,0.0
澳洲淡味长寿牛奶,Australian Lite Long Life Milk,1.6,1.6,1.7,0.0
澳大利亚脱脂长寿牛奶,Australian Skim Long Life Milk,1.6,1.6,1.7,0.0
澳洲全脂长寿牛奶,Australian Full Cream Long Life Milk,1.6,1.6,1.7,0.0
全脂牛奶,Dairy Full Cream Milk,1.55,1.55,1.7,0.0
白砂糖,White Sugar,1.7,1.7,1.7,0.0
速食燕麦,Quick Oats,3.1,3.1,3.1,0.0
燕麦片超值装,Rolled Oats Value Pack,3.1,3.1,3.1,0.0
Woolworths 白米长粒,Woolworths White Rice Long Grain,8.5,8.5,9.0,0.0
Woolworths 澳大利亚燕麦片,Woolworths Australian Rolled Oats,2.8,2.6,3.5,0.2
Woolworths 澳大利亚速食燕麦,Woolworths Australian Quick Oats,2.8,2.6,3.5,0.2
CSR白糖,Csr White Sugar,2.0,2.0,2.6,0.0
原糖,Raw Sugar,1.8,1.8,1.8,0.0
燕麦片,Rolled Oats,1.65,1.65,1.65,0.0
速食燕麦,Quick Oats,1.65,1.65,1.65,0.0
棕醋,Brown Vinegar,1.8,1.8,1.8,0.0
通心粉,Pasta Penne,0.9,0.9,0.9,0.0
意大利面 意大利面条,Pasta Spaghetti,0.9,0.9,0.9,0.0
意大利面螺旋,Pasta Spirals,0.9,0.9,0.9,0.0
长粒米,Long Grain Rice,1.4,1.4,1.8,0.0
长粒白米,Long Grain White Rice,2.8,2.8,3.6,0.0
简单的香草冰淇淋,Simply Vanilla Ice Cream,7.0,7.0,7.0,0.0
简单的那不勒斯冰甜点,Simply Neapolitan Ice Dessert,7.0,7.0,7.0,0.0
Woolworths 白米长粒,Woolworths White Rice Long Grain,1.8,1.8,1.8,0.0
必需品通心粉,Essentials Pasta Penne,0.9,0.9,0.9,0.0
必需品 意大利面 意大利面条,Essentials Pasta Spaghetti,0.9,0.9,0.9,0.0
必需品螺旋面食,Essentials Pasta Spirals,0.9,0.9,0.9,0.0
CSR原糖,Csr Raw Sugar,2.5,2.5,3.2,0.0
必需品原糖,Essentials Raw Sugar,1.8,1.8,2.0,0.0
澳大利亚自己的无糖杏仁奶,Australia's Own Unsweetened Almond Milk,3.1,1.85,3.1,1.25
牛奶 UHT 杏仁不加糖,Milk UHT Almond Unsweetened,1.89,1.89,1.89,0.0
牛奶超高温处理杏仁原味,Milk UHT Almond Original,1.89,1.89,1.89,0.0
超高温处理燕麦奶,UHT Oat Milk,1.89,1.89,1.89,0.0
纯素鸡汤,Vegan Style Chicken Stock,1.9,1.9,1.9,0.0
液体高汤真牛肉,Liquid Stock Real Beef,1.9,1.9,1.9,0.0
液体正宗鸡,Liquid Real Stock Chicken,1.9,1.9,1.9,0.0
液体真实蔬菜,Liquid Real Stock Vegetable,1.9,1.9,1.9,0.0
液体盐减少真正的鸡汤,Liquid Salt Reduced Real Chicken Stock,1.9,1.9,1.9,0.0
澳大利亚自己的无糖椰奶,Australia's Own Unsweetened Coconut Milk,3.2,1.9,3.2,1.3
Westgold 全脂超高温牛奶,Westgold Full Cream Uht Milk,1.9,1.9,1.9,0.0
御宴茉莉香米,Royal Feast Jasmine Rice,24.0,24.0,48.0,0.0
Woolworths 传统燕麦片,Woolworths Rolled Traditional Oats,1.7,1.4,1.7,0.3
Woolworths 速食燕麦,Woolworths Quick Oats,1.7,1.4,1.7,0.3
Woolworths 鸡肉液体汤料,Woolworths Chicken Liquid Stock,1.9,1.9,1.9,0.0
Woolworths 蔬菜液体汤料,Woolworths Vegetable Liquid Stock,1.9,1.9,1.9,0.0
Woolworths 鸡肉液体盐减少,Woolworths Chicken Liquid Stock Salt Reduced,1.9,1.9,1.9,0.0
Woolworths 液体牛肉汤,Woolworths Beef Liquid Stock,1.9,1.9,1.9,0.0
全脂长寿牛奶,Full Cream Long Life Milk,3.9,3.9,3.9,0.0
半脱脂长寿牛奶,Semi Skim Long Life Milk,3.9,3.9,3.9,0.0
农民自己的全脂牛奶,Farmers Own Full Cream Milk,5.85,5.85,5.85,0.0
全脂牛奶,Full Cream Milk,5.95,5.95,5.95,0.0
淡奶,Light Milk,5.95,5.95,5.95,0.0
诺科全脂牛奶,Norco Full Cream Milk,5.95,5.95,5.95,0.0
农民自己的全脂均质化,Farmers Own Full Cream Homogenised,3.95,3.95,3.95,0.0
内在善良长寿米浆,Inner Goodness Long Life Rice Milk,1.99,1.99,1.99,0.0
CHAMP 冰咖啡风味牛奶,CHAMP Iced Coffee Flavoured Milk,3.99,3.99,3.99,0.0
CHAMP巧克力味牛奶,CHAMP Chocolate Flavoured Milk,3.99,3.99,3.99,0.0
棕色洋葱,Brown Onions,3.6,2.0,3.6,1.6
土豆,Potatoes,6.5,4.0,6.5,2.5
无乳糖长寿全脂牛奶,Lactose Free Long Life Full Cream Milk,1.9,1.6,2.0,0.3
无乳糖超高温灭菌低脂牛奶,Lactose Free UHT Low Fat Milk,2.0,2.0,2.0,0.0
杏仁奶不加糖,Almond Milk Unsweetened,2.0,1.85,2.0,0.15
无糖杏仁超高温灭菌奶 1L,Unsweetened Almond UHT Milk 1L,3.3,1.65,3.3,1.65
豆奶普通长寿奶 1L,Soy Milky Regular Long Life Milk 1L,2.45,2.0,2.45,0.45
豆奶 Lite 长寿奶 1L,Soy Milky Lite Long Life Milk 1L,2.45,2.0,2.45,0.45
无乳糖全脂牛奶,Lactose Free Full Cream Milk,3.2,2.0,3.2,1.2
原味杏仁奶,Original Almond Milk,2.0,2.0,2.0,0.0
无糖燕麦奶,Unsweetened Oat Milk,2.0,2.0,2.0,0.0
有机无麦芽长效大豆饮料,Organic Malt Free Long Life Soy Drink,2.2,2.0,2.2,0.2
原糖,Raw Sugar,3.9,3.9,3.9,0.0
白砂糖,White Sugar,2.0,2.0,2.0,0.0
白色硬皮印花袋面包粉,White Crusty Calico Bag Bread Mix,20.0,20.0,20.0,0.0
食盐,Table Salt,2.0,2.0,2.0,0.0
棕色麦芽醋,Brown Malt Vinegar,3.2,3.2,3.9,0.0
硬质小麦天使发意大利面,Durum Wheat Angel Hair Spaghetti,1.0,1.0,1.0,0.0
硬粒小麦意大利面,Durum Wheat Pasta Spaghetti,1.0,1.0,1.0,0.0
硬粒小麦意大利宽面条,Durum Wheat Pasta Fettuccine,1.0,1.0,1.0,0.0
硬粒小麦面食大螺旋,Durum Wheat Pasta Large Spirals,1.0,1.0,1.0,0.0
硬粒小麦意大利面通心粉 Rigate,Durum Wheat Pasta Penne Rigate,1.0,1.0,1.0,0.0
硬质小麦面食壳大号,Durum Wheat Pasta Shells Large,1.0,1.0,1.0,0.0
硬粒小麦意大利面通心粉,Durum Wheat Pasta Macaroni,1.0,1.0,1.0,0.0
硬质小麦面食领结,Durum Wheat Pasta Bowties,1.0,1.0,1.0,0.0
硬质小麦通心粉通心粉,Durum Wheat Pasta Rigatoni,1.0,1.0,1.0,0.0
长粒优质白米,Long Grain Premium White Rice,4.0,4.0,4.0,0.0
Sanitarium So Good 咖啡师版豆浆,Sanitarium So Good Barista Edition Soy Milk,3.0,2.0,3.0,1.0
Woolworths 无糖杏仁奶,Woolworths Unsweetened Almond Milk,2.0,1.85,2.0,0.15
Pureharvest 有机无麦芽豆奶,Pureharvest Organic Malt Free Soy Milk,2.2,2.0,2.2,0.2
Jst J*st 杏仁奶,Jst J*st Almond Milk,3.0,2.0,3.0,1.0
Jst J*st 燕麦奶,Jst J*st Oat Milk,3.0,2.0,3.0,1.0
诺科全脂牛奶,Norco Full Cream Milk,4.0,4.0,4.0,0.0
Woolworths 水洗土豆袋,Woolworths Washed Potatoes Bag,5.5,4.0,7.9,1.5
Woolworths 意大利面,Woolworths Pasta Spaghetti,1.0,1.0,1.0,0.0
Woolworths 意大利面通心粉,Woolworths Pasta Macaroni,1.0,1.0,1.0,0.0
Woolworths 螺旋面食,Woolworths Pasta Spirals,1.0,1.0,1.0,0.0
Woolworths 通心粉 Rigate,Woolworths Pasta Penne Rigate,1.0,1.0,1.0,0.0
Woolworths 大贝壳意大利面,Woolworths Large Pasta Shells,1.0,1.0,1.0,0.0
Woolworths 意大利宽面条,Woolworths Pasta Fettuccine,1.0,1.0,1.0,0.0
Sunrice 白米 优质长粒米,Sunrice White Rice Premium Long Grain,4.0,4.0,5.3,0.0
Woolworths 长天使发意大利面,Woolworths Long Angel Hair Pasta,1.0,1.0,1.0,0.0
必需品食盐,Essentials Table Salt,2.0,2.0,2.0,0.0
牛奶全脂,Milk Full Cream,6.2,5.8,6.2,0.4
奶农全脂牛奶 全脂牛奶,Dairy Farmers Full Cream Milk Full Cream Milk,6.2,5.8,6.2,0.4
全脂牛奶,Full Cream Milk,6.3,6.0,6.3,0.3
轻启动牛奶,Light Start Milk,6.3,6.3,6.3,0.0
白醋,White Vinegar,3.2,3.2,4.1,0.0
康威尔白醋,Cornwell's White Vinegar White,4.5,4.5,5.0,0.0
全脂牛奶,Full Cream Milk,4.3,4.3,4.3,0.0
全脂牛奶,Full Cream Milk,4.3,3.95,4.3,0.35
奶农全脂牛奶 全脂牛奶,Dairy Farmers Full Cream Milk Full Cream Milk,4.3,3.8,4.3,0.5
Farmdale 长寿有机全脂牛奶,Farmdale Long Life Organic Full Cream Milk,2.29,2.19,2.29,0.1
无籽西瓜切块,Seedless Watermelon Cut,7.8,4.4,7.8,3.4
全脂长寿牛奶,Full Cream Long Life Milk,2.2,2.2,2.2,0.0
杏仁奶,Almond Milky,3.0,1.5,3.0,1.5
好长寿普通豆奶,So Good Long Life Regular Soy Milk,2.2,2.2,2.2,0.0
脱脂长寿牛奶,Skim Long Life Milk,2.2,2.2,2.2,0.0
半脱脂长寿牛奶,Semi Skim Long Life Milk,2.2,2.2,2.2,0.0
燕麦奶,Oat Milky,3.0,1.5,3.0,1.5
好好长寿淡豆奶 1L,So Good Long Life Lite Soy Milk 1L,2.2,2.2,2.2,0.0
淡奶,Light Milk,4.4,4.2,4.4,0.2
全脂牛奶,Full Cream Milk,4.4,4.2,4.4,0.2
盐,Salt,2.2,2.2,2.2,0.0
Devondale 100% 纯全脂长寿牛奶,Devondale 100% Pure Full Cream Long Life Milk,2.2,2.0,2.2,0.2
Devondale 半脱脂长寿牛奶,Devondale Semi Skim Long Life Milk,2.2,2.0,2.2,0.2
Devondale 脱脂长寿牛奶,Devondale Skim Long Life Milk,2.2,2.0,2.2,0.2
疗养院好长寿淡豆奶,Sanitarium So Good Long Life Lite Soy Milk,2.2,2.2,2.2,0.0
宏观有机椰奶不加糖,Macro Organic Coconut Milk Unsweetened,2.4,2.2,2.4,0.2
预包装红皇家洗土豆,Red Royale Washed Potatoes Prepacked,7.9,5.5,7.9,2.4
拉丝土豆,Brushed Potatoes,7.0,6.5,9.0,0.5
全脂牛奶,Full Cream Milk,1.25,1.25,1.35,0.0
有机无糖燕麦奶,Organic Unsweetened Oat Milk,2.4,2.25,2.4,0.15
宏观有机燕麦奶不加糖,Macro Organic Oat Milk Unsweetened,2.4,2.25,2.4,0.15
诺科低脂牛奶,Norco Reduced Fat Milk,4.5,4.5,4.5,0.0
诺科脱脂牛奶,Norco Skim Milk,4.5,4.5,4.5,0.0
Woolworths 拉丝土豆袋,Woolworths Brushed Potatoes Bag,9.0,7.0,9.0,2.0
Woolworths 全麦自发面粉,Woolworths Wholemeal Self Raising Flour,2.25,2.25,2.25,0.0
Woolworths 全麦普通面粉,Woolworths Wholemeal Plain Flour,2.25,2.25,2.25,0.0
内在善良豆浆,Inner Goodness Soy Milk,2.29,2.29,2.29,0.0
简单的香草冰甜点,Simply Vanilla Ice Dessert,4.5,4.5,4.5,0.0
精选橙浆,Pick’d Orange Pulp,4.69,4.69,4.69,0.0
不含采摘橙果肉,Pick’d Orange Pulp Free,4.69,4.69,4.69,0.0
采摘的云苹果,Pick'd Cloudy Apple,4.69,4.69,4.69,0.0
奶农淡奶,Dairy Farmers Light Milk,4.7,4.3,4.7,0.4
奶农 脱脂牛奶 脱脂牛奶,Dairy Farmers Skim Milk Skim Milk,4.7,4.3,4.7,0.4
番茄切碎罐头,Chopped Tomatoes Canned,0.95,0.95,0.95,0.0
Farmdale有机全脂牛奶,Farmdale Organic Full Cream Milk,2.39,2.39,2.39,0.0
预包装胡萝卜 1Kg,Carrots Prepacked 1Kg,2.4,2.4,2.4,0.0
椰奶,Coconut Milk,0.95,0.95,0.95,0.0
黑豆,Black Beans,1.0,1.0,1.0,0.0
茉莉花白米饭,Jasmine White Rice,24.0,12.0,24.0,12.0
Woolworths 澳大利亚种植的胡萝卜,Woolworths Australian Grown Carrots,2.4,1.3,2.4,1.1
CSR细砂糖,Csr Caster Sugar,3.5,2.8,3.5,0.7
保罗斯智慧白牛奶,Pauls Smarter White Milk,4.85,4.35,4.85,0.5
维他奶淡味豆奶,Vitasoy Soy Milky Lite,2.45,1.95,2.45,0.5
维他奶普通豆奶,Vitasoy Soy Milky Regular,2.45,1.95,2.45,0.5
白翼自发面粉,White Wings Self Raising Flour,4.95,4.95,4.95,0.0
椰壳椰子水,Cocolicious Coconut Water,2.49,2.49,2.49,0.0
采摘的苹果芒果,Pick'd Apple Mango,4.99,4.99,4.99,0.0
胡萝卜松散,Carrots Loose,0.44,0.42,0.44,0.02
意大利番茄丁,Italian Diced Tomatoes,2.0,2.0,2.0,0.0
椰子奶油,Coconut Cream,1.0,1.0,1.0,0.0
糙米,Brown Rice,2.5,2.5,2.5,0.0
Woolworths 鹰嘴豆不加盐,Woolworths Chickpeas No Added Salt,1.1,1.0,1.1,0.1
Woolworths 小扁豆不加盐,Woolworths Lentils No Added Salt,1.1,1.0,1.1,0.1
Woolworths 红芸豆不加盐,Woolworths Red Kidney Beans No Added Salt,1.1,1.0,1.1,0.1
Woolworths 黑豆无添加盐罐头,Woolworths Black Beans No Added Salt Can,1.1,1.0,1.1,0.1
Woolworths 四豆混合无添加盐罐头,Woolworths Four Bean Mix No Added Salt Can,1.1,1.0,1.1,0.1
Woolworths 墨西哥风格 3 豆混合无添加盐罐装,Woolworths Mexican Style 3 Bean Mix No Added Salt Can,1.1,1.0,1.1,0.1
澳大利亚自己的咖啡师豆奶,Australia's Own Barista Soy Milk,2.5,2.5,3.5,0.0
宏观有机杏仁奶,Macro Organic Almond Milk,2.5,2.5,2.5,0.0
Woolworths 洋葱棕色袋,Woolworths Onion Brown Bag,3.6,2.5,3.6,1.1
Woolworths 棕色洋葱袋,Woolworths Brown Onions Bag,5.5,4.0,5.5,1.5
Woolworths 糙米粒,Woolworths Brown Rice Grain,2.5,2.5,2.5,0.0
市场价格花园冷冻豌豆,Market Fare Garden Frozen Peas,2.59,2.59,2.59,0.0
番茄浓缩汤罐头,Condensed Canned Soup Tomato,1.1,1.1,1.1,0.0
优质黄豌豆,Premium Yellow Split Peas,2.6,2.6,2.6,0.0
Woolworths 番茄酱焗豆,Woolworths Baked Beans In Tomato Sauce,1.1,1.1,1.1,0.0
这么好的巧克力燕麦奶,So Good Chocolate Oat Milk,3.5,2.6,3.5,0.9
Woolworths 番茄汤,Woolworths Tomato Soup,1.3,1.1,1.3,0.2
诺科全脂牛奶,Norco Full Cream Milk,2.6,2.6,2.6,0.0
玉米粒,Corn Kernels,1.1,1.1,1.1,0.0
豆类卷饼,Beans Cannellini,1.1,1.1,1.1,0.0
扁豆,Lentils Beans,1.1,1.1,1.1,0.0
玉米粒 - NAS,Corn Kernels - NAS,1.1,1.1,1.1,0.0
聪明买番茄酱焗豆,Smart Buy Baked Beans In Tomato Sauce,1.1,1.1,1.1,0.0
鹰嘴豆,Chick Peas,1.1,1.1,1.1,0.0
豆红肾,Beans Red Kidney,1.1,1.1,1.1,0.0
豆类黄油,Beans Butter,1.1,1.1,1.1,0.0
豆类 4 豆混合,Beans 4 Bean Mix,1.1,1.1,1.1,0.0
Woolworths 玉米甜粒,Woolworths Corn Sweet Kernels,1.2,1.05,1.2,0.15
自发面粉,Self Raising Flour,2.7,2.7,2.7,0.0
皇冠印度香米,Crown Basmati Rice,11.45,11.45,13.5,0.0
烧烤酱,BBQ Sauce,5.3,5.3,5.3,0.0
酱番茄,Sauce Tomato,5.3,5.3,5.3,0.0
无麸质原味香草冰淇淋桶,Gluten Free Original Vanilla Ice Cream Tub,8.7,8.7,10.9,0.0
无麸质原味那不勒斯多味冰淇淋桶,Gluten Free Original Neapolitan Multi Flavoured Ice Cream Tub,10.9,10.9,10.9,0.0
伍尔沃斯番茄酱,Woolworths Tomato Sauce,5.3,5.3,5.6,0.0
伍尔沃斯烧烤酱,Woolworths Barbecue Sauce,5.3,5.3,5.6,0.0
宏观有机原糖有机,Macro Organic Raw Sugar Organic,2.7,2.7,2.7,0.0
反抗白面包师面粉,Defiance White Baker's Flour,13.5,12.5,13.5,1.0
意大利番茄丁,Italian Diced Tomatoes,1.1,1.1,1.1,0.0
意大利整颗去皮西红柿,Italian Whole Peeled Tomatoes,1.1,1.1,1.1,0.0
Ice Break 常规 2 份浓度冰咖啡牛奶,Ice Break Regular 2 Shot Strength Iced Coffee Milk,6.5,5.5,6.5,1.0
健康贝克普通面粉 Easy Store,The Healthy Baker Plain Flour Easy Store,3.25,2.75,3.25,0.5
健康贝克自发面粉便利商店,The Healthy Baker Self Raising Flour Easy Store,3.25,2.75,3.25,0.5
市场价绿色冷冻豆,Market Fare Green Frozen Beans,2.79,2.79,2.79,0.0
内在善良杏仁奶,Inner Goodness Almond Milk,2.79,2.79,2.79,0.0
Farmdale 无乳糖全脂牛奶,Farmdale Lactose Free Full Cream Milk,2.79,2.79,2.79,0.0
香草味蛋奶冻,Vanilla Flavoured Custard,2.79,2.79,2.79,0.0
淡椰奶,Light Coconut Milk,1.1,1.1,1.1,0.0
淡椰子奶油,Light Coconut Cream,1.1,1.1,1.1,0.0
荔枝味果汁,Litchi Sensation Fruit Juice,3.6,2.8,3.6,0.8
苹果醋,Apple Cider Vinegar,5.55,5.55,5.55,0.0
茉莉香米,Jasmine Rice,5.5,5.5,5.5,0.0
茉莉香米,Jasmine Rice,14.0,14.0,14.0,0.0
原味香草冰淇淋,Originalvanilla Ice Cream,5.5,5.5,5.5,0.0
原味彩虹冰淇淋,Original Rainbow Ice Cream,5.5,5.5,5.5,0.0
无麸质原味那不勒斯多味冰淇淋桶,Gluten Free Original Neapolitan Multi Flavoured Ice Cream Tub,5.5,5.5,5.5,0.0
原味香蕉片冰淇淋,Original Banana Split Ice Cream,5.5,5.5,5.5,0.0
必需品冷冻混合蔬菜,Essentials Frozen Mixed Vegetables,2.8,2.8,2.8,0.0
Sanitarium So Good 燕麦无添加糖常温牛奶,Sanitarium So Good Oat No Added Sugar Uht Milk,2.8,1.95,2.8,0.85
澳大利亚自产 A2 蛋白全脂超高温牛奶,Australia's Own A2 Protein Full Cream Uht Milk,2.8,2.8,2.8,0.0
澳大利亚自己的低胆固醇牛奶,Australia's Own Lower Cholesterol Milk,2.8,2.8,2.8,0.0
康威尔苹果醋苹果酒,Cornwell's Apple Cider Vinegar Cider,7.0,6.3,7.0,0.7
奶农全脂牛奶,Dairy Farmers Full Cream Milk,2.8,2.8,2.8,0.0
Sanitarium So Good 冷冻普通豆浆,Sanitarium So Good Chilled Regular Soy Milk,2.8,2.8,2.8,0.0
Zafarelli 通心粉 Rigati 意大利面 18 号,Zafarelli Penne Rigati Pasta No 18,2.0,1.4,2.0,0.6
Zafarelli 螺丝粉 17 号意大利面,Zafarelli Fusilli Pasta No 17,2.0,1.4,2.0,0.6
扎法雷利 4 号意大利面,Zafarelli Spaghetti No4,2.0,1.4,2.0,0.6
Zafarelli 短笛意大利面 40 号,Zafarelli Piccolo Pasta No 40,2.0,1.4,2.0,0.6
Zafarelli 宽面条 12 号,Zafarelli Fettuccine Pasta No 12,2.0,1.4,2.0,0.6
Zafarelli 布卡蒂尼 6 号意大利面,Zafarelli Bucatini Pasta No 6,2.0,1.4,2.0,0.6
Woolworths 茉莉香米,Woolworths Jasmine Rice,15.0,14.0,15.0,1.0
Woolworths Essentials 传统麦片,Woolworths Essentials Traditional Muesli,2.5,2.5,2.5,0.0
必需品番茄酱,Essentials Tomato Paste,1.4,1.4,1.4,0.0
必需品 细砂糖,Essentials Caster Sugar,2.2,2.2,2.75,0.0
袋鼠面包师面粉,Wallaby Bakers Flour,12.6,9.9,14.0,2.7
维他奶 So Milky 豆浆,Vitasoy So Milky Soy Milk,2.85,1.95,2.85,0.9
维他奶低糖豆奶,Vitasoy Soy Milky Low Sugar Soy Milk,2.85,1.95,2.85,0.9
粗面粉,Semolina Coarse,2.85,2.85,2.85,0.0
意大利帕萨塔酱,Italian Passata Sauce,2.0,2.0,2.0,0.0
Sanitarium So Good 长寿无糖杏仁奶,Sanitarium So Good Long Life Unsweetened Almond Milk,2.9,1.45,2.9,1.45
Sanitarium So Good 长寿原味杏仁奶,Sanitarium So Good Long Life Original Almond Milk,2.9,1.45,2.9,1.45
Sanitarium So Good 长寿无糖杏仁椰奶,Sanitarium So Good Long Life Unsweetened Almond Coconut Milk,2.9,1.45,2.9,1.45
Riverina 新鲜无乳糖全脂牛奶,Riverina Fresh Lactose Free Full Cream Milk,5.95,5.8,5.95,0.15
维他奶杏仁奶,Vitasoy Almond Milky,3.1,2.5,3.7,0.6
安娜丽莎番茄泥,Annalisa Tomato Puree,2.0,2.0,2.0,0.0
Pauls Farmhouse 黄金全脂牛奶,Pauls Farmhouse Gold Full Cream Milk,4.4,4.4,4.4,0.0
Pauls Farmhouse Gold 非均质全脂牛奶,Pauls Farmhouse Gold Full Cream Milk Unhomogenised,4.4,4.4,4.4,0.0
高纤维麸皮 530g,High Fibre Bran 530g,2.95,2.95,2.95,0.0
奶农淡奶,Dairy Farmers Light Milk,2.95,2.95,2.95,0.0
奶农塑造脱脂牛奶,Dairy Farmers Shape Skim Milk,2.95,2.95,2.95,0.0
保罗兹米尔牛奶,Pauls Zymil Milk,8.9,8.9,8.9,0.0
内在善良 - 咖啡师长寿燕麦奶,Inner Goodness - Barista Long Life Oat Milk,2.99,2.99,2.99,0.0
香草味蛋奶冻,Vanilla Flavour Custard,1.8,1.8,1.8,0.0
乳白色冰咖啡,Milky Iced Coffee,3.0,3.0,3.0,0.0
蛋白质加,Protein Plus,3.0,3.0,3.0,0.0
Zymil 全脂长寿牛奶,Zymil Full Cream Long Life Milk,3.0,3.0,3.0,0.0
物理高钙减脂牛奶盒装,Physical High Calcium Reduced Fat Milk Carton,3.0,3.0,3.0,0.0
Zymil 脱脂长寿牛奶,Zymil Skim Long Life Milk,3.0,3.0,3.0,0.0
牛奶巧克力,Milky Chocolate,3.0,3.0,3.0,0.0
Calci-Plus 长寿豆奶 1L,Calci-Plus Long Life Soy Milk 1L,3.0,3.0,3.0,0.0
这么好的咖啡师大豆超高温灭菌,So Good Barista Soy UHT,3.0,2.0,3.0,1.0
有机长寿燕麦奶,Organic Long Life Oat Milk,3.0,2.0,3.0,1.0
